NAME,FPL,tcal_left,tcal_right,zpos,t_fpl,tleft_geo,tleft_ch,tright_geo,tright_ch,q_fpl,qleft_geo,qleft_ch,qright_geo,qright_ch,tdc_overflow
F3pl,3,0.0156253,0.0156253,-205,13,6,0,6,1,13,5,0,5,1,65536
F5pl,5,0.0156253,0.0156252,755,13,6,2,6,3,13,5,2,5,3,65536
F7pl,7,0.0156253,0.0156253,220,13,6,4,6,5,13,5,4,5,5,65536
F13pl-1,13,0.0156252,0.0156253,0,13,6,6,6,7,13,5,6,5,7,65536
F13pl-2,13,0.0156252,0.0156252,0,13,6,8,6,9,13,5,8,5,9,65536
SBV,13,0.0156252,0.0156252,0,13,6,10,6,11,13,5,10,5,11,65536
F3pl-delay,3,0.03,0.03,-205,3,0,0,0,1,3,0,0,0,1,4096
F3pl,3,0.03,0.03,-205,3,0,2,0,3,3,-1,-1,-1,-1,4096
F5pl,5,0.03,0.03,755,7,0,2,0,3,7,0,2,0,3,4096
F7pl,7,0.03,0.03,220,7,0,0,0,1,7,0,0,0,1,4096
F7pl-delay,7,0.03,0.03,220,7,0,2,0,3,7,-1,-1,-1,-1,4096
F13pl-1,13,0.03,0.03,0,13,0,0,0,1,13,0,0,0,1,4096
F13pl-2,13,0.03,0.03,0,13,0,2,0,3,13,0,2,0,3,4096
SBV,13,0.03,0.03,0,13,0,4,0,5,13,0,4,0,5,4096
